"filename","handle"
tas_mon_CanESM5_historical_r4i1p2f1_native.nc,hdl:21.14100/6edaa5ec-96fa-4619-8876-97ffd222932b
tas_mon_CanESM5_historical_r5i1p2f1_native.nc,hdl:21.14100/fd8f1571-b812-4b68-9a83-32faf05061a4
tas_mon_CanESM5_historical_r6i1p2f1_native.nc,hdl:21.14100/28f10229-8e22-445f-9b43-6c810ff461df
tas_mon_CanESM5_historical_r7i1p2f1_native.nc,hdl:21.14100/c252697f-be9f-47f1-9d0f-fdf69fd5dee4
tas_mon_CanESM5_historical_r8i1p2f1_native.nc,hdl:21.14100/cea5e72d-5805-4eb4-b65d-717ca9bd67ce
tas_mon_CanESM5_historical_r9i1p2f1_native.nc,hdl:21.14100/4357f402-01e5-4b10-a7bf-abf4fc132a01
tas_mon_CanESM5_ssp245_r10i1p2f1_native.nc,hdl:21.14100/13548277-19cb-4773-8d92-af5243e51bba
tas_mon_CanESM5_ssp245_r11i1p2f1_native.nc,hdl:21.14100/c43dbb34-a99b-45d6-8c20-f50dfe7c7af5
tas_mon_CanESM5_ssp245_r12i1p2f1_native.nc,hdl:21.14100/a2eabb4e-9bac-40a7-9355-6d9b2f8746e1
tas_mon_CanESM5_ssp245_r13i1p2f1_native.nc,hdl:21.14100/b5aba8b9-d601-401e-8cfa-97b68b6192d8
tas_mon_CanESM5_ssp245_r14i1p2f1_native.nc,hdl:21.14100/77c8a9c5-6fb5-42e5-8f2a-0ac7cb614f01
tas_mon_CanESM5_ssp245_r15i1p2f1_native.nc,hdl:21.14100/5eda47b0-305c-4f5f-a2d5-4ccc40dd2e64
tas_mon_CanESM5_ssp245_r16i1p2f1_native.nc,hdl:21.14100/33371235-df29-46a1-a83f-1654b43b5057
tas_mon_CanESM5_ssp245_r17i1p2f1_native.nc,hdl:21.14100/d283de7b-b717-489d-bf8c-74136aae1f95
tas_mon_CanESM5_ssp245_r18i1p2f1_native.nc,hdl:21.14100/80abff9a-0533-4225-9914-9187d782f224
tas_mon_CanESM5_ssp245_r19i1p2f1_native.nc,hdl:21.14100/f47a556b-69ad-46f5-bc1c-fe5b3e13c171
tas_mon_CanESM5_ssp245_r1i1p2f1_native.nc,hdl:21.14100/bdb7f949-17fd-4671-9e62-5a12227a7046
tas_mon_CanESM5_ssp245_r20i1p2f1_native.nc,hdl:21.14100/fe8d8358-d836-4629-ac17-b9d5d857fbeb
tas_mon_CanESM5_ssp245_r21i1p2f1_native.nc,hdl:21.14100/64623f47-d4db-4938-83a8-22d05504f9d5
tas_mon_CanESM5_ssp245_r22i1p2f1_native.nc,hdl:21.14100/a2b3a506-f501-420b-a035-62238db85193
tas_mon_CanESM5_ssp245_r23i1p2f1_native.nc,hdl:21.14100/1eb0e582-5c83-4140-bab5-44eec9632980
tas_mon_CanESM5_ssp245_r24i1p2f1_native.nc,hdl:21.14100/84f1cf24-0f9c-43ef-a284-b7ba776a163b
tas_mon_CanESM5_ssp245_r25i1p2f1_native.nc,hdl:21.14100/3adc417a-ab59-4acd-b507-cc067b1ed13e
tas_mon_CanESM5_ssp245_r2i1p2f1_native.nc,hdl:21.14100/4b135563-4214-400a-b0c6-28485c59879f
tas_mon_CanESM5_ssp245_r3i1p2f1_native.nc,hdl:21.14100/d38adf5c-6bb7-4487-8194-431200c43f15
tas_mon_CanESM5_ssp245_r4i1p2f1_native.nc,hdl:21.14100/17de2ec3-938a-4efd-a74a-50191490a3b8
tas_mon_CanESM5_ssp245_r5i1p2f1_native.nc,hdl:21.14100/50ff5a93-44e4-470a-8807-58890900b82c
tas_mon_CanESM5_ssp245_r6i1p2f1_native.nc,hdl:21.14100/3d176c34-44a6-41a8-8aa2-37954f1431e9
tas_mon_CanESM5_ssp245_r7i1p2f1_native.nc,hdl:21.14100/297dec12-3de1-41b1-9a6e-cd0063f237bc
tas_mon_CanESM5_ssp245_r8i1p2f1_native.nc,hdl:21.14100/e957b26b-a096-40f5-bfaa-7bbf1ffa8f9a
tas_mon_CanESM5_ssp245_r9i1p2f1_native.nc,hdl:21.14100/dd755b6c-270c-488f-af37-fa98a1801965
tas_mon_CanESM5-CanOE_historical_r1i1p2f1_native.nc,hdl:21.14100/48904243-28e8-4ccf-b987-feb3fe6bbea2
tas_mon_CanESM5-CanOE_historical_r2i1p2f1_native.nc,hdl:21.14100/71dca825-58da-4810-bc30-8a4a8a85277d
tas_mon_CanESM5-CanOE_historical_r3i1p2f1_native.nc,hdl:21.14100/44c2e22b-6db4-4dcd-87b3-3764189330ee
tas_mon_CanESM5-CanOE_ssp245_r1i1p2f1_native.nc,hdl:21.14100/da12162c-2b89-4037-b4e3-a05dbd83cf54
tas_mon_CanESM5-CanOE_ssp245_r2i1p2f1_native.nc,hdl:21.14100/c51a867b-0e2e-465e-82c2-2f6d9d4a55f1
tas_mon_CanESM5-CanOE_ssp245_r3i1p2f1_native.nc,hdl:21.14100/c3862d2c-0aa3-4931-9f6a-13bd15771b99
tas_mon_CESM2_historical_r10i1p1f1_native.nc,hdl:21.14100/e47b79db-3925-45a7-9c0a-6799c2f1e8ae
tas_mon_CESM2_historical_r11i1p1f1_native.nc,hdl:21.14100/a7278f6d-6a1b-4050-8f06-a8033604736a
tas_mon_CESM2_historical_r1i1p1f1_native.nc,hdl:21.14100/d9a7225a-49c3-4470-b7ab-a8180926f839
tas_mon_CESM2_historical_r2i1p1f1_native.nc,hdl:21.14100/d6fa53f3-6177-4362-b89b-3e501730faec
tas_mon_CESM2_historical_r3i1p1f1_native.nc,hdl:21.14100/5b561e94-39b4-40d1-8343-77e1c9e30765
tas_mon_CESM2_historical_r4i1p1f1_native.nc,hdl:21.14100/ef376c2e-c83b-4e73-a770-010e28bb1776
tas_mon_CESM2_historical_r5i1p1f1_native.nc,hdl:21.14100/fb912e02-4a12-4d3d-8dd5-d1d0b8f776e1
tas_mon_CESM2_historical_r6i1p1f1_native.nc,hdl:21.14100/86f90ad0-949d-4285-9c36-117c7c139649
tas_mon_CESM2_historical_r7i1p1f1_native.nc,hdl:21.14100/ef102346-9475-49e1-b8cf-ece4bec4b886
tas_mon_CESM2_historical_r8i1p1f1_native.nc,hdl:21.14100/bb0b3f7a-7160-47b6-bc7f-dfa86f160170
tas_mon_CESM2_historical_r9i1p1f1_native.nc,hdl:21.14100/4b164514-1627-4deb-a8d5-93d4c5166d41
tas_mon_CESM2_ssp245_r10i1p1f1_native.nc,hdl:21.14100/449a0ef9-20cf-4ca4-af4a-30b8d7942188
tas_mon_CESM2_ssp245_r11i1p1f1_native.nc,hdl:21.14100/53d70eba-38be-4b01-8422-87176ba062ba
tas_mon_CESM2_ssp245_r1i1p1f1_native.nc,hdl:21.14100/2ca670f5-854f-4a6c-9c15-40abd1cca982
tas_mon_CESM2_ssp245_r2i1p1f1_native.nc,hdl:21.14100/678d2ead-c515-4f4b-a634-ea60de704353
tas_mon_CESM2_ssp245_r3i1p1f1_native.nc,hdl:21.14100/c2645df6-1e11-4987-92a2-20e5bfaa828a
tas_mon_CESM2_ssp245_r4i1p1f1_native.nc,hdl:21.14100/47432dac-b66f-41f9-a901-776f66b07394
tas_mon_CESM2-WACCM_historical_r1i1p1f1_native.nc,hdl:21.14100/55a8af4c-3729-4051-9e53-f22295c2ec1c
tas_mon_CESM2-WACCM_historical_r2i1p1f1_native.nc,hdl:21.14100/3ee6052c-4da8-4486-9228-e91943a379f3
tas_mon_CESM2-WACCM_historical_r3i1p1f1_native.nc,hdl:21.14100/e0b9ce1e-c5c4-45c3-bc34-7b81f6e528e2
tas_mon_CESM2-WACCM_ssp245_r1i1p1f1_native.nc,hdl:21.14100/2f7bd0c7-5c06-4461-a0f9-af8335252d14
tas_mon_CESM2-WACCM_ssp245_r2i1p1f1_native.nc,hdl:21.14100/a5adfeeb-3e7f-4b2e-b80d-fcd8d82cd89b
tas_mon_CESM2-WACCM_ssp245_r3i1p1f1_native.nc,hdl:21.14100/dc5f2416-2bf5-49eb-a2b4-82b48414f5aa
tas_mon_CESM2-WACCM_ssp245_r4i1p1f1_native.nc,hdl:21.14100/aff07dac-faf5-4537-87d4-78ffd9f98e33
tas_mon_CESM2-WACCM_ssp245_r5i1p1f1_native.nc,hdl:21.14100/414e4cb3-3a80-441c-81e5-e2e9bc1c42b3
tas_mon_CIESM_historical_r1i1p1f1_native.nc,hdl:21.14100/0a854b7f-69f4-4082-af55-a9031f19e051
tas_mon_CIESM_historical_r2i1p1f1_native.nc,hdl:21.14100/c224f457-3ef8-4f75-9de0-eb857cea7d96
tas_mon_CIESM_historical_r3i1p1f1_native.nc,hdl:21.14100/d1f27fe4-d4a7-4cb7-9269-0e8b01000c94
tas_mon_CIESM_ssp245_r1i1p1f1_native.nc,hdl:21.14100/b28322dd-e9e3-4155-9280-6b44d571353c
tas_mon_CMCC-CM2-SR5_historical_r1i1p1f1_native.nc,hdl:21.14100/0d405b27-f2c3-4622-a665-5e5fde9724d6
tas_mon_CMCC-CM2-SR5_ssp245_r1i1p1f1_native.nc,hdl:21.14100/8c641a16-6d91-40c6-b070-ea4ba78e2563
tas_mon_CNRM-CM6-1_historical_r10i1p1f2_native.nc,hdl:21.14100/aaca9734-594a-418d-95df-b636e0dd3314
tas_mon_CNRM-CM6-1_historical_r11i1p1f2_native.nc,hdl:21.14100/954ae7be-426e-47e2-9567-6879a21f5205
